Date,Affected pages
2025-12-23,0
2025-12-24,215
2025-12-25,215
2025-12-26,215
2025-12-27,215
2025-12-28,215
2025-12-29,215
2025-12-30,215
2025-12-31,215
2026-01-01,215
2026-01-02,215
2026-01-03,215
